"Element";"Timestamp";"Avg_Fon";"Max_Fon";"Units"
"0";"25.01.2016 18:33:07";"0,06";"0,52";"uSv/h"
"1";"25.01.2016 18:23:07";"0,56";"0,57";"uSv/h"
"2";"25.01.2016 18:13:07";"0,53";"0,53";"uSv/h"
"3";"25.01.2016 18:03:07";"0,40";"0,49";"uSv/h"
"4";"25.01.2016 17:53:07";"0,45";"0,58";"uSv/h"
"5";"25.01.2016 17:43:07";"0,53";"0,51";"uSv/h"
"6";"25.01.2016 17:33:07";"0,39";"0,46";"uSv/h"
"7";"25.01.2016 17:23:07";"0,40";"0,54";"uSv/h"
"8";"25.01.2016 17:13:07";"0,55";"0,54";"uSv/h"
"9";"25.01.2016 17:03:07";"0,48";"0,52";"uSv/h"
"10";"25.01.2016 16:53:07";"0,50";"0,46";"uSv/h"
"11";"25.01.2016 16:43:07";"0,34";"0,46";"uSv/h"
"12";"25.01.2016 16:33:07";"0,35";"0,58";"uSv/h"
"13";"25.01.2016 16:23:07";"0,53";"0,60";"uSv/h"
"14";"25.01.2016 16:13:07";"0,58";"0,65";"uSv/h"
"15";"25.01.2016 16:03:07";"0,64";"0,54";"uSv/h"
"16";"25.01.2016 15:53:07";"0,34";"0,42";"uSv/h"
"17";"25.01.2016 15:43:07";"0,42";"0,42";"uSv/h"
"18";"25.01.2016 15:33:07";"0,31";"0,58";"uSv/h"
"19";"25.01.2016 15:23:07";"0,55";"0,50";"uSv/h"
"20";"25.01.2016 15:13:07";"0,32";"0,52";"uSv/h"
"21";"25.01.2016 15:03:07";"0,51";"0,55";"uSv/h"
"22";"25.01.2016 14:53:07";"0,45";"0,54";"uSv/h"
"23";"25.01.2016 14:43:07";"0,51";"0,59";"uSv/h"
"24";"25.01.2016 14:33:07";"0,64";"0,52";"uSv/h"
"25";"25.01.2016 14:23:07";"0,39";"0,23";"uSv/h"
